winner,cluster,mod,lobby,r_1,r_2,r_3,r_4,r_5,d_1,d_2,d_3,d_4,d_5
-1,224,2,3,5,8,9,21,93,22,41,74,76,87
-1,153,2,3,6,18,85,86,88,1,23,30,35,37
1,192,2,3,14,29,93,95,98,33,41,44,46,107
1,151,2,3,4,37,42,74,93,5,9,16,44,98
-1,227,2,2,1,45,62,64,96,10,23,37,44,84
1,154,9,2,16,47,78,87,100,35,49,54,60,104
1,155,2,3,4,22,34,44,59,5,20,28,41,42
-1,155,2,2,3,35,96,104,106,8,12,44,70,73
-1,136,2,2,27,29,44,74,107,18,26,36,40,79
-1,227,2,2,17,67,97,102,103,8,9,14,22,62
-1,152,2,3,28,30,40,94,98,8,21,90,93,103
1,231,2,2,2,16,21,30,103,8,10,18,70,74
-1,155,2,2,14,28,44,80,93,1,25,55,62,104
1,122,2,2,8,27,32,35,39,44,50,62,82,91
-1,223,2,2,37,42,48,58,70,12,18,28,41,93
1,187,2,2,6,36,44,83,98,25,54,65,93,110
1,181,2,3,6,23,72,75,104,17,22,53,67,74
1,171,2,2,6,39,51,70,97,7,8,30,31,103
1,123,2,2,15,62,69,73,104,5,17,70,71,113
-1,154,2,3,14,18,32,34,57,9,41,48,74,79
-1,231,8,3,8,21,35,47,62,34,36,42,50,70
-1,132,9,2,25,48,51,95,101,18,21,36,59,71
-1,182,2,3,1,6,22,32,112,16,19,25,61,70
1,225,2,2,11,25,35,36,44,2,34,41,62,93
1,227,2,3,19,31,70,84,93,8,36,47,57,98
-1,156,2,3,4,18,22,32,35,5,21,44,87,98
1,225,2,2,59,73,93,98,104,5,8,41,49,95
1,161,2,2,2,17,35,41,75,27,62,70,95,104
1,191,2,2,9,10,71,73,82,2,18,33,74,93
-1,138,2,3,44,60,72,87,98,5,35,50,71,93
-1,145,2,2,21,32,71,79,99,8,11,27,42,74
1,131,2,2,6,25,32,38,74,44,53,67,82,90
-1,227,2,2,32,41,64,88,109,4,18,31,62,94
1,153,2,2,14,17,42,67,96,1,47,58,73,104
-1,227,8,2,10,22,76,85,87,6,20,42,49,74
1,232,2,2,1,23,30,31,99,6,19,62,98,100
1,155,2,2,9,56,74,80,93,2,39,50,59,73
1,152,2,3,32,33,74,84,93,8,22,28,50,98
-1,153,2,3,8,21,34,84,107,2,6,65,74,90
-1,191,2,3,56,86,98,104,113,5,8,17,79,99
-1,155,2,3,14,18,46,63,112,9,13,36,44,99
-1,154,2,2,4,8,11,14,81,23,44,50,59,93
-1,137,2,3,25,27,41,50,98,9,18,34,40,67
1,154,2,3,4,27,39,44,62,2,12,47,50,94
-1,156,2,3,29,53,67,74,86,5,10,14,41,75
1,224,2,2,35,41,54,56,60,5,8,29,44,93
1,154,9,2,9,47,50,51,59,7,77,83,93,95
-1,152,9,2,13,62,75,106,109,9,16,17,64,89
-1,224,8,3,32,36,69,93,104,8,9,57,94,96
1,151,2,2,10,30,41,67,86,14,19,32,84,93
1,188,2,2,14,23,34,65,93,9,68,74,81,100
-1,151,9,2,18,19,32,44,96,6,12,23,25,36
1,182,2,3,56,74,87,98,104,4,25,35,52,86
1,155,2,3,17,32,93,94,98,7,12,39,59,71
-1,156,2,2,1,30,36,71,73,4,6,20,47,49
1,153,2,3,23,31,41,85,104,15,32,43,49,95
1,227,2,3,9,23,36,70,73,2,8,11,68,93
1,153,2,3,1,6,26,32,74,21,35,59,62,98
-1,155,2,2,1,32,53,74,106,4,40,76,87,104
1,134,9,2,2,22,41,57,76,3,8,59,67,99
-1,151,2,2,4,12,20,62,74,14,28,44,93,95
1,227,2,2,23,35,36,68,74,9,11,21,47,86
1,192,9,2,9,18,46,65,71,4,41,43,99,106
1,144,2,2,1,4,26,98,104,8,43,44,93,106
1,154,2,3,6,7,44,59,74,11,12,28,67,104
-1,223,8,2,2,54,73,84,95,29,60,67,75,106
1,227,8,3,10,14,63,88,90,6,41,84,98,103
-1,155,2,2,4,14,19,26,36,5,9,28,41,94
1,132,2,3,16,21,42,79,89,8,44,74,86,97
1,224,8,3,51,68,73,76,93,4,30,41,42,101
1,151,9,2,9,22,72,89,104,20,56,88,97,100
-1,227,2,3,7,41,62,94,98,6,8,9,20,36
-1,231,8,2,34,44,70,87,103,8,9,29,41,101
1,153,2,2,7,44,62,80,104,4,21,26,51,58
1,182,2,2,18,20,21,53,104,1,10,41,46,71
1,153,2,2,1,8,15,99,110,10,12,74,95,97
-1,184,2,2,2,8,26,27,30,14,18,33,42,56
-1,183,2,3,8,12,35,73,93,2,18,59,68,97
1,182,2,2,1,8,14,74,97,11,12,42,84,104
-1,153,2,2,1,4,74,77,95,10,56,57,73,93
-1,156,9,2,38,59,62,72,81,12,31,39,44,67
-1,153,2,3,1,7,11,14,59,18,30,32,36,81
1,154,2,2,14,53,74,88,99,6,8,39,71,86
1,156,2,2,22,26,58,74,96,4,6,42,44,95
1,151,2,2,10,31,33,71,74,14,21,26,35,56
-1,181,9,2,42,46,73,89,113,5,23,44,47,106
-1,184,2,2,9,11,18,39,44,8,53,55,98,104
-1,137,2,2,35,44,59,61,62,14,70,74,81,109
-1,225,2,3,8,32,44,74,112,34,62,75,94,98
-1,227,2,3,2,5,8,9,44,14,56,64,98,104
1,227,2,2,9,11,88,94,104,28,41,62,74,93
1,152,2,2,14,75,93,97,104,9,21,37,70,72
1,156,9,2,6,45,60,102,104,9,10,81,94,95
1,188,2,3,10,30,53,74,99,25,34,71,73,111
-1,151,2,2,2,4,49,64,74,14,35,44,46,59
-1,187,9,2,12,18,22,87,106,20,49,54,81,102
1,153,2,2,14,26,74,91,104,6,8,21,23,54
1,223,2,2,20,48,63,87,97,2,9,23,84,99
1,156,2,3,2,5,17,44,60,1,4,9,45,56
-1,131,2,2,2,15,22,63,88,39,42,44,93,102
1,223,2,3,9,29,62,67,106,8,22,28,53,71
1,184,2,3,22,40,52,68,74,6,9,25,50,62
1,144,2,3,6,30,32,42,44,11,26,63,99,104
1,156,2,2,18,26,36,46,73,41,86,97,104,106
1,231,8,3,1,9,14,37,98,28,32,63,90,104
1,151,2,3,7,16,17,37,82,2,5,39,89,93
1,232,2,2,11,32,41,57,103,9,62,63,69,93
-1,227,2,3,8,14,55,65,98,1,2,36,75,101
-1,144,2,2,1,7,14,15,18,9,21,44,70,87
1,154,9,2,8,9,20,88,104,42,59,67,96,105
-1,188,9,2,5,10,20,76,95,16,19,27,36,104
1,137,9,2,20,36,41,44,86,11,22,71,93,109
-1,227,2,2,8,14,90,104,106,9,11,16,72,98
-1,152,2,3,9,18,26,29,34,5,42,70,74,75
1,227,2,2,8,9,26,57,63,10,14,21,52,88
1,225,2,2,8,30,39,104,110,16,17,21,49,72
1,112,2,2,3,9,21,39,88,6,14,16,27,74
1,151,2,3,7,74,75,95,104,1,13,79,82,111
-1,155,2,3,8,9,85,98,106,6,16,31,41,44
-1,132,2,3,10,16,19,56,101,5,6,14,30,74
-1,155,2,3,9,44,55,76,112,8,22,62,73,87
1,181,2,2,4,14,29,44,54,32,35,46,57,70
1,227,1,2,18,44,52,81,83,3,20,30,41,99
1,223,2,3,14,23,41,62,110,9,32,35,54,75
-1,186,2,3,6,9,21,33,107,10,36,62,98,112
-1,137,2,3,41,66,74,109,111,2,14,44,75,93
-1,151,2,3,8,28,49,89,90,9,32,42,55,73
1,152,2,2,20,59,68,93,104,9,10,17,23,90
1,188,2,2,12,28,59,70,112,31,73,98,101,104
-1,151,2,3,1,10,26,28,109,9,20,63,104,113
-1,227,2,2,9,41,95,104,111,2,8,14,15,103
1,152,9,2,41,43,70,98,102,22,45,81,83,104
-1,155,2,3,9,23,44,74,86,3,8,17,36,100
-1,225,2,3,23,46,59,62,84,9,16,28,74,93
-1,227,2,2,85,93,95,98,103,44,51,57,74,99
-1,227,2,3,18,23,52,87,94,10,26,35,67,86
1,225,2,2,8,11,20,80,104,10,16,43,73,93
1,227,8,3,2,17,35,51,88,39,40,44,62,104
1,181,2,2,5,10,21,44,71,35,74,99,104,110
1,155,2,2,4,21,23,70,104,2,7,14,44,81
-1,154,2,3,8,9,15,34,59,2,18,21,36,70
1,152,2,3,4,13,14,19,30,8,74,90,97,98
1,225,2,3,5,16,44,73,75,8,17,68,69,104
1,182,9,2,41,57,76,99,104,19,40,80,86,95
1,231,2,2,44,48,75,101,104,8,14,17,27,35
1,181,2,2,14,18,44,86,104,9,53,73,74,88
1,151,9,2,21,28,53,59,87,8,12,14,63,76
-1,133,9,2,15,20,67,72,95,32,42,47,62,98
-1,156,2,2,4,28,42,44,104,1,7,8,57,85
1,151,2,2,10,14,21,29,32,1,47,95,98,104
-1,181,2,2,11,40,41,44,74,3,6,70,73,97
-1,144,2,2,6,18,35,44,59,2,7,17,25,73
1,151,2,2,9,29,74,93,98,6,14,44,73,104
-1,185,2,2,9,14,30,44,62,19,32,54,63,86
1,144,2,2,2,17,44,74,104,7,19,42,89,98
1,156,2,3,18,28,57,74,104,32,33,34,72,112
1,134,9,2,56,59,71,83,94,7,17,54,100,110
-1,154,2,2,3,35,43,54,74,20,41,42,59,73
-1,151,2,2,8,10,26,84,101,14,36,73,83,104
-1,227,8,2,8,9,31,41,110,32,45,71,75,94
-1,227,2,2,2,8,9,14,19,4,16,17,44,85
1,154,2,2,14,30,41,48,112,9,74,87,104,109
1,152,2,3,12,16,34,57,63,1,2,7,21,94
1,192,9,2,53,62,85,97,99,17,26,27,41,98
1,186,2,2,7,12,14,62,63,16,17,20,32,82
-1,212,2,2,4,14,40,72,98,9,17,44,52,103
1,227,8,3,9,18,55,93,101,16,17,20,29,44
-1,227,2,3,22,70,71,81,104,14,18,32,34,98
-1,191,2,3,2,35,48,62,93,6,9,22,32,59
-1,156,9,2,2,11,61,62,90,4,5,6,18,47
1,156,2,2,11,16,21,59,112,34,54,55,74,109
-1,156,2,2,7,8,18,80,81,1,5,10,44,70
-1,231,2,3,9,23,28,35,98,14,41,76,93,110
-1,153,2,3,6,8,42,72,104,1,26,30,34,93
-1,156,2,3,18,50,68,70,76,2,73,98,99,105
-1,156,9,2,1,10,18,23,35,16,28,44,51,71
-1,227,8,3,9,34,67,84,88,2,11,14,17,87
-1,225,8,3,12,13,37,68,88,10,16,53,74,86
-1,152,2,3,6,9,13,14,50,2,10,28,86,93
-1,151,2,2,4,7,59,70,71,5,35,44,49,104
1,188,9,2,11,68,77,87,95,1,20,23,54,101
-1,223,8,3,31,35,41,42,98,2,7,9,23,48
-1,155,2,3,7,21,30,44,56,18,20,34,47,104
-1,153,2,2,14,22,48,62,104,2,9,34,71,75
1,122,2,3,9,54,72,103,111,10,12,26,73,106
1,144,2,2,1,8,9,23,104,27,34,44,62,69
1,153,2,3,17,42,57,94,101,2,21,39,58,93
-1,187,9,2,43,65,75,87,94,4,9,18,42,103
1,153,2,2,20,35,48,99,107,32,67,70,71,86
-1,152,9,2,20,44,88,89,97,6,7,14,23,56
-1,152,2,2,10,17,27,39,72,6,11,37,42,75
1,224,2,2,9,40,86,93,99,21,42,50,80,104
-1,183,2,2,25,26,32,53,74,5,9,22,44,85
1,134,2,2,4,5,11,29,44,6,8,32,41,93
1,154,2,3,12,19,20,73,88,11,44,81,104,109
-1,232,2,2,2,13,19,56,93,9,30,32,35,75
1,155,2,2,18,35,53,54,86,6,9,73,93,95
-1,153,2,2,16,17,18,35,74,54,62,73,93,100
1,153,2,2,9,11,27,62,70,6,55,58,79,93
1,151,9,2,41,44,51,67,69,10,17,28,62,97
-1,151,2,2,6,11,59,98,101,4,8,20,23,44
-1,156,9,2,28,32,36,98,110,6,26,44,97,103
1,145,9,2,36,38,47,49,97,30,43,58,60,79
1,224,2,3,2,8,11,18,98,14,23,44,69,78
1,155,2,2,1,18,39,98,99,14,26,61,74,104
-1,145,2,3,1,32,74,84,93,14,57,59,72,94
1,133,2,3,8,64,71,93,104,9,21,41,70,73
1,154,2,2,2,23,81,86,95,6,35,44,67,106
-1,184,2,2,6,42,57,70,100,14,56,84,94,98
-1,155,2,3,8,51,54,83,90,41,44,57,74,75
-1,151,2,2,4,6,8,54,71,49,58,81,88,93
-1,224,2,2,23,39,55,68,93,18,73,87,88,94
-1,152,2,3,2,9,54,74,84,28,44,46,87,93
-1,225,2,3,40,59,74,99,102,14,23,27,34,35
1,224,2,2,23,77,79,87,90,1,10,43,60,101
1,155,2,2,14,18,35,93,104,2,8,31,44,70
1,133,2,2,9,14,32,44,93,1,41,62,97,99
1,227,8,3,9,16,40,54,74,18,59,67,75,98
1,154,2,2,5,13,14,39,71,9,17,18,42,48
-1,156,2,2,6,13,18,45,59,22,44,54,68,87
1,154,2,3,23,53,68,74,81,9,12,33,83,98
-1,156,2,2,11,15,21,44,96,1,12,34,36,68
-1,232,8,3,1,18,21,74,103,2,4,17,41,94
-1,227,8,2,1,2,31,34,41,68,73,74,79,104
-1,186,2,2,8,44,50,54,59,18,32,35,36,84
-1,155,2,2,4,32,35,88,104,12,15,44,47,93
1,154,2,3,1,17,56,63,99,14,32,39,48,71
1,145,2,3,9,21,44,52,70,5,6,74,93,104
1,151,2,2,12,72,81,83,93,9,39,54,88,96
-1,204,2,3,57,72,86,96,98,14,30,35,42,70
-1,153,2,3,5,7,12,28,74,9,26,93,94,97
-1,153,2,3,1,6,8,14,64,9,18,29,70,104
1,154,2,2,6,10,36,59,104,14,34,44,70,88
-1,145,2,2,12,18,34,44,97,5,9,20,21,104
1,227,8,3,23,42,47,67,103,12,32,36,37,94
1,153,9,2,6,32,34,54,82,9,12,14,31,35
-1,153,2,3,1,8,57,96,98,44,93,95,99,112
1,151,2,3,6,57,79,98,107,2,17,30,53,93
1,204,9,2,19,60,70,74,102,4,12,18,83,84
1,152,2,2,27,44,48,73,82,5,13,14,23,93
-1,152,9,2,41,54,57,80,81,6,35,43,59,70
1,227,2,2,32,47,79,94,98,2,35,65,85,88
1,151,2,3,6,8,10,22,102,5,46,72,74,89
1,188,2,2,14,34,86,93,104,1,36,50,52,77
1,204,2,2,8,10,16,34,91,9,23,31,56,105
1,134,2,2,6,16,27,54,98,1,14,59,87,104
-1,231,2,3,8,22,50,59,98,33,35,42,73,90
-1,153,2,3,6,28,54,62,71,14,22,32,44,104
1,183,9,2,7,20,41,73,101,6,9,14,74,99
1,132,2,2,7,20,40,86,104,6,9,21,41,58
-1,154,2,2,14,35,74,84,104,1,2,32,34,47
-1,155,2,3,20,53,71,93,106,14,30,32,57,63
-1,144,9,2,6,12,14,55,56,36,47,62,81,99
1,152,9,2,4,16,42,54,112,11,30,46,74,110
-1,231,8,3,10,29,57,84,98,9,26,32,73,95
-1,151,2,3,1,18,41,57,62,4,6,14,49,105
1,137,2,3,14,32,54,79,98,31,41,44,62,93
1,204,2,3,20,50,71,74,93,6,17,41,79,84
1,137,2,2,6,8,35,42,49,27,44,59,63,109
-1,231,2,2,8,22,50,72,84,1,2,16,58,74
-1,145,2,2,6,14,21,23,93,9,22,26,44,104
1,231,2,2,8,13,37,70,98,2,14,44,84,85
1,153,2,2,27,32,73,96,98,2,21,42,47,54
1,133,9,2,20,48,68,93,97,15,44,73,90,109
-1,223,2,2,26,48,64,84,106,14,22,23,70,89
1,154,2,2,2,5,14,53,102,13,35,44,59,78
1,231,8,3,18,30,32,54,98,4,8,34,36,52
1,136,2,3,16,17,31,63,94,6,8,32,82,93
1,224,2,3,6,14,70,96,104,17,29,31,74,110
-1,156,2,3,2,5,21,41,59,9,14,18,54,105
-1,156,2,2,10,51,60,90,113,6,54,74,91,93
1,155,2,3,9,56,57,99,104,5,7,8,14,28
1,123,9,2,55,64,68,69,94,36,47,48,70,98
1,154,9,2,9,44,51,64,96,2,25,29,34,54
1,223,2,3,30,32,39,70,93,34,36,77,91,104
1,188,2,3,8,9,36,44,84,3,4,19,34,79
-1,155,9,2,4,23,41,44,70,31,43,78,80,95
-1,155,2,2,2,9,16,40,93,1,4,14,44,74
-1,145,2,2,23,27,58,59,95,4,28,39,41,44
1,152,2,2,2,14,50,59,64,17,19,63,72,100
1,185,2,2,5,32,54,62,72,2,18,19,59,74
-1,191,2,3,25,56,75,96,104,9,16,18,74,102
1,154,2,2,22,29,33,69,83,2,10,13,32,57
1,151,2,3,17,28,32,94,104,5,35,67,72,95
-1,231,8,3,45,47,63,73,84,8,9,30,70,88
1,152,2,2,4,8,42,95,104,28,32,44,91,99
1,124,2,3,34,54,57,88,92,1,9,16,26,105
-1,232,2,3,2,9,23,70,93,8,14,26,34,51
-1,261,2,2,4,6,7,42,105,16,59,70,98,104
-1,192,2,2,10,62,65,74,100,2,9,16,41,47
1,154,2,2,18,22,44,57,87,5,16,74,86,93
-1,184,2,2,14,16,18,54,60,42,44,70,84,95
-1,155,2,3,9,14,44,74,86,8,29,34,53,93
1,154,2,3,6,32,61,87,102,9,18,35,96,104
1,153,9,2,1,4,7,83,97,16,27,28,42,82
1,223,2,3,5,8,17,30,104,28,36,70,93,106
1,154,2,3,20,34,66,97,103,6,14,21,30,69
1,192,2,3,10,14,68,74,104,2,9,18,44,73
-1,137,2,3,18,33,36,76,98,12,16,21,42,96
1,154,2,3,11,32,49,64,104,4,9,16,17,106
1,151,2,3,5,33,68,93,97,8,14,39,71,75
1,181,6,2,17,54,65,84,87,8,20,30,55,74
-1,223,8,2,9,16,19,59,75,41,74,79,83,98
1,151,2,2,7,11,48,54,92,9,38,44,82,105
-1,151,2,2,2,5,26,59,73,8,21,48,98,99
1,213,2,2,14,19,42,57,87,8,9,16,51,79
1,154,9,2,8,14,32,42,52,1,10,58,63,84
-1,191,2,2,32,37,44,54,71,6,18,33,98,104
1,181,3,2,14,31,69,73,83,27,28,36,86,94
-1,231,2,3,4,8,32,41,83,9,17,18,62,75
1,121,2,2,2,17,28,44,112,5,18,26,34,59
1,153,2,2,4,18,30,31,74,6,14,19,57,93
-1,152,2,3,8,9,14,44,48,6,22,42,52,84
-1,185,2,2,1,34,44,62,105,2,17,32,74,95
1,151,2,2,5,23,65,74,86,8,11,29,53,97
-1,186,2,3,7,9,18,57,97,1,11,16,26,73
1,227,2,2,5,22,41,42,75,17,19,54,103,105
-1,261,2,3,13,29,44,70,101,1,5,8,36,95
1,223,2,2,16,39,44,53,94,9,29,41,74,88
-1,111,2,3,6,80,82,91,98,9,14,26,85,106
1,152,2,3,5,9,14,98,109,8,34,70,84,90
1,154,9,2,5,29,35,67,105,6,7,98,106,110
1,227,2,3,5,9,28,65,95,2,43,94,98,104
1,224,2,3,6,9,35,48,103,2,42,51,94,107
1,225,2,3,4,8,14,71,94,17,42,45,93,104
1,227,2,2,12,25,56,67,106,13,16,42,49,84
-1,223,2,3,2,8,23,59,73,9,32,40,54,56
1,153,2,2,28,32,42,65,104,9,11,40,59,62
-1,155,2,2,8,34,68,70,109,35,44,59,67,104
1,151,2,2,1,9,59,63,104,16,18,41,47,93
1,137,9,2,23,32,47,60,96,1,4,27,93,106
-1,184,2,2,6,21,35,44,51,14,22,71,81,100
1,227,2,3,16,25,28,56,67,1,21,62,90,98
1,156,2,3,8,16,23,28,51,2,9,75,89,93
-1,171,9,2,11,18,51,99,107,6,29,39,50,81
-1,156,2,3,9,22,23,34,42,1,6,63,90,104
-1,155,9,2,21,36,60,73,103,7,18,42,98,110
1,185,2,2,25,41,42,44,53,4,8,32,48,105
-1,151,2,2,53,68,82,97,102,2,20,26,44,70
1,182,9,2,2,16,44,51,93,1,7,11,82,113
-1,227,2,2,2,9,14,39,93,21,36,41,79,87
-1,153,2,2,6,21,28,44,105,2,5,7,32,99
1,232,2,2,4,12,14,59,68,1,26,39,87,103
1,227,2,3,8,10,67,93,106,6,35,47,81,112
1,231,2,2,9,41,90,103,104,16,17,20,48,98
-1,151,2,3,6,9,20,21,88,7,35,68,73,74
1,156,2,2,9,14,34,44,93,4,7,21,31,74
1,153,9,2,9,13,20,30,59,37,77,85,93,104
1,227,1,2,28,52,53,54,87,9,14,25,99,112
1,224,2,2,10,41,44,105,106,27,29,67,74,84
-1,185,2,2,18,31,53,74,87,23,44,51,84,86
1,152,2,3,21,36,75,93,100,6,17,44,68,96
-1,184,2,2,10,14,23,74,112,20,34,43,44,90
1,183,2,3,8,20,40,58,97,9,34,41,57,94
1,192,2,2,11,14,67,86,101,2,5,13,18,27
-1,151,2,2,14,52,61,104,109,2,8,28,34,106
1,156,2,2,14,26,76,99,109,1,17,21,49,104
1,151,2,3,6,9,11,83,84,8,19,26,28,74
-1,134,2,3,9,11,41,79,104,8,25,62,69,91
1,151,2,2,22,49,62,100,106,1,12,14,59,74
1,224,2,2,28,48,55,73,110,12,32,70,89,93
1,223,2,3,11,41,68,71,73,20,21,28,70,106
1,224,4,2,3,4,29,34,73,8,30,40,69,87
-1,153,2,2,1,55,74,79,81,18,41,64,71,88
-1,188,2,2,2,18,27,39,68,10,14,31,86,106
1,134,2,2,11,32,46,93,98,8,9,41,56,87
-1,155,2,3,14,32,44,48,93,9,18,57,74,104
1,223,2,2,14,18,69,86,104,8,10,29,32,98
-1,151,2,3,16,17,54,55,111,1,44,57,62,98
-1,155,2,2,16,50,56,59,93,1,9,32,48,107
-1,155,2,3,32,44,49,86,93,13,14,18,26,104
1,188,2,3,18,56,71,93,95,14,90,104,106,110
-1,184,2,3,6,14,38,59,98,45,54,67,68,73
-1,134,2,3,8,17,50,99,104,6,9,32,43,53
1,227,2,2,19,21,29,35,56,2,30,74,89,98
-1,152,2,2,15,35,59,91,112,4,25,41,71,98
1,152,2,3,6,10,12,27,74,8,28,37,40,106
1,151,2,3,1,26,35,47,50,8,31,37,78,87
1,232,8,3,2,25,67,98,106,12,14,21,23,58
-1,131,2,3,14,44,57,93,104,6,9,17,79,111
1,231,8,2,8,14,32,51,106,9,95,98,103,104
1,155,2,2,21,32,74,93,104,19,44,71,73,82
-1,156,2,2,6,36,41,44,105,7,8,42,54,104
-1,223,2,2,9,42,73,79,89,7,8,14,44,57
-1,155,2,2,16,33,44,65,93,8,75,90,95,96
1,154,2,3,3,6,10,49,98,17,44,47,74,93
1,227,8,2,8,9,11,28,32,4,15,22,23,98
-1,192,8,3,23,31,41,47,88,14,16,37,62,93
1,136,3,2,17,26,40,84,96,2,39,68,74,99
1,181,2,2,12,16,42,62,86,2,5,7,44,106
-1,156,2,2,14,32,34,46,62,11,18,28,36,37
-1,182,2,2,4,6,76,83,98,36,74,81,88,104
-1,153,2,3,1,6,33,37,93,14,18,31,56,64
-1,151,2,2,34,46,60,71,82,2,14,36,44,54
-1,152,2,3,14,30,35,88,98,4,8,54,71,74
1,135,2,3,14,25,30,54,83,4,32,60,98,102
-1,156,2,3,10,11,28,79,93,22,30,41,76,103
1,153,2,2,5,7,32,58,67,4,9,54,74,98
-1,227,8,2,22,39,42,93,96,9,14,17,32,71
-1,232,2,3,2,4,9,68,89,22,49,56,65,98
1,232,8,2,16,40,70,74,93,1,50,58,83,106
1,151,9,2,14,23,36,88,99,18,42,61,63,94
-1,154,2,2,11,18,67,70,91,2,28,42,62,93
-1,152,2,3,53,93,97,98,112,9,51,67,84,104
-1,181,2,2,2,8,42,63,94,5,18,21,32,70
-1,151,2,2,2,73,88,89,104,4,8,18,19,25
1,151,2,2,7,42,49,54,71,4,8,14,32,99
-1,186,2,2,8,14,22,32,98,4,18,23,59,95
1,227,8,3,26,39,62,69,95,20,32,49,94,96
-1,155,2,2,1,8,17,42,75,9,14,44,95,104
-1,153,2,3,14,32,73,94,107,28,48,54,57,59
-1,231,8,3,22,25,44,62,100,7,8,36,68,84
-1,223,8,2,19,39,51,53,87,14,16,62,93,94
1,225,8,2,9,28,33,36,98,14,16,25,70,93
-1,227,8,3,21,22,41,73,91,2,9,23,48,70
1,155,2,2,5,19,29,36,51,2,30,35,92,98
1,183,9,2,30,41,56,70,71,1,17,62,94,101
1,223,8,3,16,32,39,103,109,1,14,30,34,88
1,155,2,2,6,8,14,19,106,25,30,44,74,95
-1,134,2,2,1,26,35,49,104,2,5,22,61,80
1,154,2,2,4,14,62,70,94,5,6,8,44,96
1,182,2,3,6,9,30,53,59,18,21,36,47,57
1,154,2,3,8,10,29,57,62,18,39,44,86,97
1,153,2,2,19,31,32,67,104,59,72,73,86,99
-1,153,2,2,32,42,44,50,67,1,2,18,20,94
1,227,2,2,10,17,28,35,58,8,23,37,41,67
